Menu Item,Item Type,Item Temp,Wheat,Gluten,Milk,Egg,Soy,Peanuts,Tree Nuts,Fish,Shellfish,Sesame,Mustard,Sulphites,Food chain,Barley,Oat,Rye,Triticale
McChicken,,Hot,X,,,X,X,,,,,X,X,,McD,X,,,
New Caesar McWrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
New Caesar McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
New Cajun McWrap with Crispy Chicken,,Hot,X,,X,X,X,,,,,,X,,McD,,,,
New Cajun McWrap with Grilled Chicken,,Hot,X,,X,X,X,,,,,,X,,McD,,,,
Ranch Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Ranch Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Sweet Chili Signature McWrap with Crispy Chicken,,Hot,X,,,X,,,,,,,X,,McD,,,,
Sweet Chili Signature McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,X,,McD,,,,
Tomato & Mozzarella with Crispy Chicken,,Hot,X,,X,X,,,,,,o,X,,McD,,,,
Tomato & Mozzarella with Grilled Chicken,,Hot,X,,X,X,,,,,,o,X,,McD,,,,
Chicken & Bacon McWrap with Crispy Chicken,,Hot,X,,,X,,,,,,,X,,McD,,,,
Chicken & Bacon McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,X,,McD,,,,
Chipotle Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,,,,,,,,,,McD,,,,
Chipotle Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,,,,,,,,,,McD,,,,
Double FiIet-O-Fish,,Hot,X,,X,X,X,,,X,,o,X,,McD,X,,,
FiIet-O-Fish,,Hot,X,,X,X,X,,,X,,o,X,,McD,X,,,
Meoican Chipotle Burger,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
New Caesar McWrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
New Caesar McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
New Cajun McWrap with Crispy Chicken,,Hot,X,,X,X,X,,,,,,X,,McD,,,,
New Cajun McWrap with Grilled Chicken,,Hot,X,,X,X,X,,,,,,X,,McD,,,,
Ranch Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
